date,Actual,OLS_Pred,ARIMAX_Pred,regime
2020-11-01,-2336072.1498916107,-13046057.217827149,-14907988.645103335,2020+
2020-12-01,-2496568.5921234675,-13727742.213021444,-15922646.741511812,2020+
2021-01-01,-1367743.3394532257,-12968991.585660134,-15268144.475527119,2020+
2021-02-01,-1210609.830166089,-11753565.009996226,-13981583.091702513,2020+
2021-03-01,-1665580.8303806852,-10402489.855326032,-12405561.726918658,2020+
2021-04-01,299435.2277486612,-2668069.8468232574,-3161278.082523274,2020+
2021-05-01,333273.2102055384,-3074111.2566132033,-3591773.512262567,2020+
2020-07-01,-3873287.605651903,-13719749.312698543,-17534808.251631074,2020+
2020-08-01,-4227825.573815773,-13697666.26873593,-17225289.850245304,2020+
2020-09-01,-3652459.8205323233,-12284872.289474836,-15364861.653227482,2020+
2020-10-01,-2145263.257984922,-12600711.530092103,-15854935.837312732,2020+
2020-11-01,-2336072.1498916107,-11686181.558838096,-14932808.392865151,2020+
2020-12-01,-2496568.5921234675,-12229473.39652427,-15949155.75488032,2020+
2021-01-01,-1367743.3394532257,-11501392.499706425,-15293563.833659906,2020+
2021-02-01,-1210609.830166089,-10402726.121827042,-14004860.5031693,2020+
2021-03-01,-1665580.8303806852,-9220094.682937574,-12426215.281250855,2020+
2021-04-01,299435.2277486612,-2375889.246608015,-3166541.1769957445,2020+
2021-05-01,333273.2102055384,-2755901.637029084,-3597753.3229418816,2020+
2021-06-01,367309.5620458005,-3255474.150261381,-4145295.7980853766,2020+
2020-08-01,-4227825.573815773,-9618325.656875854,-9486940.164082078,2020+
2020-09-01,-3652459.8205323233,-8669336.056074938,-8462297.26149971,2020+
2020-10-01,-2145263.257984922,-8960175.118467793,-8732208.798711529,2020+
2020-11-01,-2336072.1498916107,-8380154.213193681,-8224341.124622068,2020+
2020-12-01,-2496568.5921234675,-8832558.645234203,-8784101.02975819,2020+
2021-01-01,-1367743.3394532257,-8339075.839025751,-8423029.52431955,2020+
2021-02-01,-1210609.830166089,-7537852.070214682,-7713267.802212311,2020+
2021-03-01,-1665580.8303806852,-6646918.896845497,-6843818.701901938,2020+
2021-04-01,299435.2277486612,-1698959.2646167965,-1743993.1011367284,2020+
2021-05-01,333273.2102055384,-1953601.1541894735,-1981485.9886868044,2020+
2021-06-01,367309.5620458005,-2292054.517376198,-2283048.559928238,2020+
2021-07-01,929658.1655470183,-3887922.5772060743,-3796736.6121849865,2020+
2020-09-01,-3652459.8205323233,-7527835.384205736,-8493605.616211994,2020+
2020-10-01,-2145263.257984922,-7813507.238368349,-8782320.88194745,2020+
2020-11-01,-2336072.1498916107,-7340786.389784145,-8288342.316705573,2020+
2020-12-01,-2496568.5921234675,-7769733.899270819,-8870442.010047222,2020+
2021-01-01,-1367743.3394532257,-7360428.848706693,-8523101.036020475,2020+
